results
-150
-150
788
-150
10
-150
514
10
10
-150
270
-150
-150
-150
380
235
230
-150
-150
10
-150
-150
10
-150
-150
-150
-150
-150
-150
360
390
922
10
-150
-150
-150
10
767
10
-150
10
-150
10
10
-150
-150
480
680
-150
-150
10
10
260
10
10
-150
250
10
10
-150
-150
-150
380
400
-150
-150
-150
430
-150
520
10
-150
-150
200
10
-150
-150
-150
-150
-150
550
-150
10
630
-150
-150
-150
430
300
-150
320
10
10
-150
-150
350
-150
-150
-150
10
200
-150
330
-150
-150
-150
-150
900
-150
350
-150
-150
10
600
-150
-150
-150
-100
-150
-150
350
320
60
-150
-50
480
-150
-150
480
715
-150
-150
-150
450
-150
-150
15
-150
-150
250
-150
180
-150
-150
40
-150
-150
-150
400
-150
10
310
-150
530
-150
440
10
520
600
-150
-150
-150
-150
-150
-150
10
-150
265
10
10
10
10
160
330
-150
-150
-150
10
10
10
-150
-150
10
-150
550
-150
-150
-150
700
-150
10
-150
1500
-150
350
-150
-150
540
-150
-150
860
-150
-150
-150
820
700
10
10
-150
-150
-150
-150
-150
-150
-150
500
10
10
340
-150
-150
450
10
750
10
450
10
320
10
-150
370
-150
-150
-150
-150
10
-150
10
1000
-150
-150
-150
-150
-150
-150
-150
10
10
-150
-150
430
540
830
-150
-150
220
-150
10
-150
-150
-150
-150
-150
360
330
10
-300
500
450
-150
-150
-150
-150
-150
-150
520
-150
-150
-150
-150
-150
850
10
-150
-150
-150
10
10
300
